grp1,y,loc115
grp2,x,loc4319
grp2,grp100
grp3,y,loc3636
grp3,grp122
grp4,y,loc1628
grp5,x,loc38
grp6,y,loc1757
grp6,grp832
grp7,y,loc849
grp8,y,loc2865
grp8,grp344
grp9,y,loc1984
grp10,y,loc1692
grp10,grp430
grp11,z,loc2795
grp11,grp68
grp12,z,loc4348
grp13,y,loc1925
grp13,grp380
grp14,z,loc2112
grp15,y,loc3329
grp16,y,loc1629
grp16,grp104
grp17,y,loc3657
grp17,grp37
grp18,x,loc4223
grp19,z,loc2659
grp19,grp12
grp20,z,loc4949
grp21,y,loc3091
grp22,x,loc3966
grp22,grp376
grp23,y,loc3805
grp23,grp208
grp24,x,loc4269
grp24,grp148
grp25,x,loc1831
grp26,x,loc593
grp27,x,loc3718
grp28,x,loc2294
grp29,z,loc3235
grp29,grp181
grp30,x,loc4871
grp30,grp198
grp31,x,loc3138
grp32,z,loc4516
grp32,grp625
grp33,y,loc2695
grp34,z,loc4595
grp34,grp142
grp35,x,loc893
grp36,z,loc4664
grp36,grp692
grp37,y,loc2288
grp37,grp192
grp38,x,loc1166
grp38,grp377
grp39,z,loc1509
grp40,y,loc1562
grp40,grp311
grp41,y,loc4879
grp41,grp796
grp42,y,loc2100
grp43,y,loc1303
grp43,grp974
grp44,y,loc4692
grp44,grp594
grp45,y,loc3261
grp46,z,loc237
grp47,z,loc2814
grp47,grp709
grp48,y,loc1148
grp48,grp912
grp49,z,loc4114
grp50,y,loc175
grp51,x,loc1392
grp51,grp187
grp52,z,loc1680
grp52,grp807
grp53,z,loc3513
grp54,x,loc4513
grp54,grp452
grp55,x,loc2020
grp55,grp50
grp56,y,loc386
grp57,y,loc2488
grp57,grp621
grp58,x,loc2514
grp58,grp433
grp59,y,loc4663
grp60,y,loc3969
grp60,grp62
grp61,x,loc2393
grp62,y,loc1257
grp62,grp554
grp63,z,loc3430
grp64,x,loc214
grp65,x,loc2541
grp65,grp190
grp66,y,loc3299
grp66,grp754
grp67,y,loc4872
grp68,z,loc4940
grp69,x,loc3256
grp69,grp999
grp70,z,loc1671
grp70,grp28
grp71,x,loc2992
grp71,grp407
grp72,y,loc4293
grp73,x,loc1993
grp74,y,loc4072
grp75,z,loc634
grp75,grp295
grp76,x,loc580
grp77,z,loc3218
grp77,grp470
grp78,z,loc2297
grp78,grp689
grp79,y,loc2159
grp80,x,loc1753
grp80,grp393
grp81,z,loc1777
grp81,grp496
grp82,x,loc1152
grp83,y,loc4145
grp84,x,loc1254
grp85,z,loc2162
grp85,grp611
grp86,z,loc3453
grp86,grp596
grp87,x,loc982
grp88,z,loc4545
grp88,grp367
grp89,z,loc790
grp89,grp835
grp90,y,loc1973
grp91,z,loc3879
grp92,y,loc2037
grp92,grp830
grp93,x,loc3834
grp93,grp467
grp94,z,loc2403
grp94,grp996
grp95,z,loc2282
grp95,grp420
grp96,z,loc3393
grp96,grp93
grp97,z,loc908
grp97,grp286
grp98,y,loc4407
grp98,grp846
grp99,y,loc744
grp100,y,loc609
grp100,grp292
grp101,y,loc1968
grp102,z,loc507
grp102,grp108
grp103,x,loc2775
grp103,grp15
grp104,y,loc3585
grp104,grp897
grp105,x,loc3593
grp106,x,loc3016
grp107,y,loc3866
grp107,grp32
grp108,x,loc2304
grp108,grp481
grp109,x,loc3917
grp110,z,loc1954
grp110,grp713
grp111,y,loc186
grp112,x,loc4070
grp112,grp102
grp113,z,loc4262
grp113,grp9
grp114,z,loc3222
grp114,grp302
grp115,x,loc3878
grp116,x,loc4773
grp116,grp104
grp117,x,loc1012
grp118,x,loc4584
grp119,y,loc213
grp120,x,loc2484
grp121,x,loc2485
grp121,grp320
grp122,z,loc3205
grp123,x,loc4221
grp123,grp752
grp124,z,loc3189
grp124,grp112
grp125,z,loc724
grp125,grp374
grp126,x,loc245
grp126,grp934
grp127,z,loc1994
grp127,grp755
grp128,z,loc1479
grp129,y,loc1892
grp129,grp352
grp130,x,loc845
grp130,grp463
grp131,y,loc2454
grp132,x,loc4421
grp133,y,loc2506
grp134,y,loc3277
grp134,grp658
grp135,y,loc3304
grp135,grp340
grp136,z,loc439
grp136,grp248
grp137,x,loc941
grp138,x,loc3241
grp139,y,loc2191
grp140,x,loc2932
grp140,grp340
grp141,z,loc1249
grp141,grp273
grp142,x,loc4011
grp142,grp445
grp143,x,loc1150
grp143,grp181
grp144,z,loc2666
grp145,y,loc4030
grp145,grp861
grp146,y,loc4938
grp146,grp232
grp147,x,loc1435
grp148,z,loc4737
grp148,grp334
grp149,z,loc4297
grp149,grp575
