usr1,grp315
usr2,grp640
usr2,z,loc4049
usr3,grp169
usr4,grp763
usr4,z,loc2492
usr5,grp732
usr5,z,loc1919
usr6,grp876
usr7,grp487
usr8,grp114
usr9,grp59
usr9,z,loc3792
usr10,grp365
usr11,grp421
usr11,z,loc944
usr12,grp305
usr12,y,loc2690
usr13,grp444
usr13,y,loc729
usr14,grp973
usr14,z,loc3472
usr15,grp498
usr15,y,loc3969
usr16,grp133
usr17,grp67
usr18,grp982
usr19,grp738
usr19,y,loc1167
usr20,grp663
usr20,y,loc4681
usr21,grp466
usr22,grp978
usr23,grp527
usr24,grp639
usr25,grp317
usr25,y,loc4402
usr26,grp770
usr27,grp45
usr28,grp270
usr29,grp279
usr30,grp171
usr31,grp55
usr31,z,loc4078
usr32,grp185
usr32,y,loc2784
usr33,grp700
usr33,z,loc1824
usr34,grp796
usr34,x,loc99
usr35,grp495
usr35,z,loc4691
usr36,grp125
usr36,y,loc3177
usr37,grp13
usr37,z,loc2265
usr38,grp357
usr38,y,loc2835
usr39,grp102
usr39,z,loc1388
usr40,grp810
usr40,x,loc2907
usr41,grp897
usr42,grp80
usr42,y,loc3715
usr43,grp486
usr43,x,loc2816
usr44,grp825
usr45,grp891
usr45,y,loc10
usr46,grp851
usr46,z,loc338
usr47,grp531
usr47,x,loc2244
usr48,grp78
usr48,z,loc178
usr49,grp727
usr49,z,loc2709
usr50,grp862
usr51,grp589
usr52,grp434
usr53,grp976
usr54,grp855
usr55,grp761
usr55,z,loc3745
usr56,grp202
usr57,grp432
usr58,grp391
usr59,grp234
usr59,z,loc4901
usr60,grp805
usr60,x,loc4777
usr61,grp583
usr61,y,loc4691
usr62,grp238
usr63,grp791
usr64,grp219
usr64,y,loc110
usr65,grp739
usr65,z,loc1921
usr66,grp50
usr67,grp993
usr67,z,loc4985
usr68,grp298
usr69,grp567
usr70,grp548
usr70,z,loc1178
usr71,grp647
usr72,grp833
usr72,z,loc2034
usr73,grp491
usr74,grp603
usr75,grp878
